dims,k,ari,gap_silhouette,gap_davies_bouldin,gap_calinski_harabasz,gap_inertia,cl_inertia,cl_silhouette,cl_davies_bouldin,cl_calinski_harabasz,qkm_inertia,qkm_silhouette,qkm_davies_bouldin,qkm_calinski_harabasz
20,9,0.22412635437365883,0.0020412307382373165,-0.6941990390571333,-2.6238597793786758,6441.79835614631,6566.773053754853,0.023144903314793963,2.5308063240319894,7.167250049285399,124.97469760854315,0.02518613405303128,3.2250053630891227,4.543390269906723
20,10,0.22646486259320658,-0.018335221195124575,-0.6201763462289667,-3.0051602803000232,6269.251127744787,6390.099645821412,0.04634799061706108,2.4848021383294587,7.707090462809097,120.8485180766259,0.028012769421936506,3.1049784845584254,4.701930182509074
27,2,0.025979874022794117,-0.0927888569108277,-5.045352308952193,-17.392995242779257,7961.789641665064,8115.187896992475,0.10369352875555962,2.7729132434002692,19.88742818904868,153.39825532741128,0.010904671844731924,7.818265552352462,2.4944329462694252
27,3,0.12461221474637293,-0.06604200336624227,-2.7615470234190456,-10.817686879146144,7588.136804769973,7737.408835930754,0.08006397676565818,3.032220511619787,14.205693545569746,149.27203116078059,0.014021973399415905,5.793767535038833,3.3880066664236024
27,4,0.14514239769277787,-0.05814748867323494,-2.0046248700478264,-7.669864903858432,7309.8429682398755,7453.613383806706,0.07120397277639845,2.9554282653925767,11.93848518085779,143.77041556683056,0.013056484103163516,4.960053135440403,4.268620276999357
27,5,0.25213931358371877,-0.04779135022535817,-1.7413329752107627,-6.325707311021521,7060.926030092471,7202.2413347496595,0.056340121646095476,2.9080715335946756,10.217205758727337,141.31530465718885,0.008548771420737301,4.649404508805438,3.891498447705816
27,6,0.1512987532392044,-0.03923559823293385,-1.4747826527522174,-5.7197200584431105,6938.634869928105,7078.641491702717,0.052008476072246554,2.9401323741337104,9.121627654321522,140.0066217746117,0.012772877839312703,4.414915026885928,3.4019075958784106
27,7,0.2893051417551019,-0.027781666893502668,-1.0160824902641243,-3.713436294665672,6709.722704863443,6841.240217780438,0.04682786353663768,2.884717776222065,8.314152921720826,131.51751291699478,0.019046196643135015,3.9008002664861894,4.600716627055154
27,8,0.17055442076394764,-0.0030456209457691667,-0.989476874108643,-2.0300544059819554,6601.491338541518,6730.229809478335,0.019845738674309,2.84232951680125,6.488019907516207,128.73847093681607,0.016800117728539832,3.831806390909893,4.457965501534251
27,9,0.2312484316870138,0.01484603936286166,-0.4722469817049322,-1.0591186367338379,6445.39098925696,6566.773053754853,0.020412996442686005,2.659128429915501,6.281913425331276,121.38206449789355,0.035259035805547664,3.131375411620433,5.222794788597438
27,10,0.2536744524224437,-0.011807568550654474,-0.41452764647798857,-1.882567883509152,6269.818552411802,6390.099645821412,0.040866726709766536,2.6394333397666796,6.6841628305428005,120.28109340961028,0.029059158159112062,3.053960986244668,4.8015949470336485
